year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230985,Tadej Pogačar,1,Stage 1,160,22,6,4,0,0,0,20,212
2023,20230985,Tadej Pogačar,2,Stage 2,160,26,8,8,0,0,0,8,210
2023,20230985,Tadej Pogačar,3,Stage 3,0,26,4,8,0,0,0,8,46
2023,20230985,Tadej Pogačar,4,Stage 4,0,26,0,8,0,0,0,8,42
2023,20230985,Tadej Pogačar,5,Stage 5,80,15,0,0,0,0,0,0,95
2023,20230985,Tadej Pogačar,6,Stage 6,220,26,0,2,0,17,0,0,265
2023,20230985,Tadej Pogačar,7,Stage 7,0,26,0,2,0,0,0,0,28
2023,20230985,Tadej Pogačar,8,Stage 8,60,26,2,2,0,0,0,0,90
2023,20230985,Tadej Pogačar,9,Stage 9,35,26,2,1,0,0,0,0,64
2023,20230985,Tadej Pogačar,10,Stage 10,0,26,2,1,0,0,0,0,29
2023,20230985,Tadej Pogačar,11,Stage 11,4,26,0,1,0,0,0,0,31
2023,20230985,Tadej Pogačar,12,Stage 12,40,26,0,0,0,0,0,0,66
2023,20230985,Tadej Pogačar,13,Stage 13,160,26,2,8,0,20,0,0,216
2023,20230985,Tadej Pogačar,14,Stage 14,180,26,4,6,0,27,0,2,245
2023,20230985,Tadej Pogačar,15,Stage 15,20,26,2,4,0,0,0,2,54
2023,20230985,Tadej Pogačar,16,Stage 16,180,26,2,4,0,0,0,0,212
2023,20230985,Tadej Pogačar,17,Stage 17,0,26,2,2,0,0,0,6,36
2023,20230985,Tadej Pogačar,18,Stage 18,0,26,4,2,0,0,0,6,38
2023,20230985,Tadej Pogačar,19,Stage 19,0,26,4,2,0,0,0,6,38
2023,20230985,Tadej Pogačar,20,Stage 20,220,26,4,2,0,6,0,6,264
2023,20230985,Tadej Pogačar,21,Stage 21,0,26,4,2,20,0,0,6,58
2023,20230985,Tadej Pogačar,22,Final Classifications,0,500,60,40,0,0,0,40,640
2023,20230603,Jonas Vingegaard,1,Stage 1,70,12,0,0,0,0,0,8,90
2023,20230603,Jonas Vingegaard,2,Stage 2,20,15,0,6,0,0,0,12,53
2023,20230603,Jonas Vingegaard,3,Stage 3,0,15,0,6,0,0,0,8,29
2023,20230603,Jonas Vingegaard,4,Stage 4,0,15,0,6,0,0,0,8,29
2023,20230603,Jonas Vingegaard,5,Stage 5,120,26,0,0,0,2,0,8,156
2023,20230603,Jonas Vingegaard,6,Stage 6,180,30,0,0,0,14,0,8,232
2023,20230603,Jonas Vingegaard,7,Stage 7,0,30,0,0,0,0,0,8,38
2023,20230603,Jonas Vingegaard,8,Stage 8,12,30,0,0,0,0,0,10,52
2023,20230603,Jonas Vingegaard,9,Stage 9,30,30,0,0,0,0,0,2,62
2023,20230603,Jonas Vingegaard,10,Stage 10,0,30,0,0,0,0,0,2,32
2023,20230603,Jonas Vingegaard,11,Stage 11,12,30,0,0,0,0,0,2,44
2023,20230603,Jonas Vingegaard,12,Stage 12,20,30,0,0,0,0,0,2,52
2023,20230603,Jonas Vingegaard,13,Stage 13,140,30,0,1,0,15,0,2,188
2023,20230603,Jonas Vingegaard,14,Stage 14,160,30,0,12,0,36,0,4,242
2023,20230603,Jonas Vingegaard,15,Stage 15,16,30,0,6,0,0,0,12,64
2023,20230603,Jonas Vingegaard,16,Stage 16,220,30,0,6,0,0,0,0,256
2023,20230603,Jonas Vingegaard,17,Stage 17,140,30,1,6,0,20,0,8,205
2023,20230603,Jonas Vingegaard,18,Stage 18,0,30,1,6,0,0,0,8,45
2023,20230603,Jonas Vingegaard,19,Stage 19,0,30,0,6,0,0,0,8,44
2023,20230603,Jonas Vingegaard,20,Stage 20,160,30,2,6,1,10,0,8,217
2023,20230603,Jonas Vingegaard,21,Stage 21,0,30,2,6,0,0,0,8,46
2023,20230603,Jonas Vingegaard,22,Final Classifications,0,600,40,80,0,0,0,50,770
2023,20230059,Jasper Philipsen,1,Stage 1,0,0,0,0,3,0,0,0,3
2023,20230059,Jasper Philipsen,2,Stage 2,0,0,0,0,8,0,0,0,8
2023,20230059,Jasper Philipsen,3,Stage 3,220,0,8,0,4,0,0,0,232
2023,20230059,Jasper Philipsen,4,Stage 4,220,0,12,0,20,0,0,0,252
2023,20230059,Jasper Philipsen,5,Stage 5,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,6,Stage 6,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,7,Stage 7,220,0,12,0,12,0,0,0,244
2023,20230059,Jasper Philipsen,8,Stage 8,180,0,12,0,8,0,0,0,200
2023,20230059,Jasper Philipsen,9,Stage 9,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,10,Stage 10,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,11,Stage 11,220,0,12,0,8,0,0,0,240
2023,20230059,Jasper Philipsen,12,Stage 12,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,13,Stage 13,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,14,Stage 14,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,15,Stage 15,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,16,Stage 16,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,17,Stage 17,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,18,Stage 18,140,0,12,0,6,0,0,0,158
2023,20230059,Jasper Philipsen,19,Stage 19,140,0,12,0,2,0,0,0,154
2023,20230059,Jasper Philipsen,20,Stage 20,0,0,12,0,0,0,0,0,12
2023,20230059,Jasper Philipsen,21,Stage 21,180,0,12,0,0,0,0,0,192
2023,20230059,Jasper Philipsen,22,Final Classifications,0,0,120,0,0,0,0,0,120
2023,20230993,Adam Yates,1,Stage 1,220,30,12,0,0,0,0,8,270
2023,20230993,Adam Yates,2,Stage 2,8,30,2,0,0,0,0,6,46
2023,20230993,Adam Yates,3,Stage 3,0,30,0,0,0,0,0,4,34
2023,20230993,Adam Yates,4,Stage 4,0,30,0,0,0,0,0,4,34
2023,20230993,Adam Yates,5,Stage 5,25,16,0,0,0,0,0,0,41
2023,20230993,Adam Yates,6,Stage 6,70,15,0,0,0,0,0,12,97
2023,20230993,Adam Yates,7,Stage 7,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,8,Stage 8,0,16,0,0,0,0,0,4,20
2023,20230993,Adam Yates,9,Stage 9,12,16,0,0,0,0,0,4,32
2023,20230993,Adam Yates,10,Stage 10,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,11,Stage 11,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,12,Stage 12,12,15,0,0,0,0,0,4,31
2023,20230993,Adam Yates,13,Stage 13,60,16,0,0,0,0,0,6,82
2023,20230993,Adam Yates,14,Stage 14,140,16,0,0,0,15,0,10,181
