year,round,type,stage_pts,round_pts,share_all,share_climber,share_sprinter,share_unclassed
2023,1,mountain,1475,2258,38.0,47.3,6.4,8.3
2023,2,mixed,1475,2218,21.2,35.5,12.2,31.2
2023,3,sprint,1475,2198,0.0,0.0,97.8,2.2
2023,4,sprint,1475,2158,0.0,1.1,96.5,2.4
2023,5,mountain,1475,2347,30.5,66.4,0.0,3.1
2023,6,mountain,1475,2644,46.9,40.6,0.0,12.5
2023,7,sprint,1475,2174,0.0,0.3,89.7,10.0
2023,8,sprint,1475,2218,4.9,2.0,65.8,27.4
2023,9,mixed,1475,2546,28.6,30.7,0.0,40.7
2023,10,mixed,1475,2178,34.9,26.4,2.4,36.3
2023,11,sprint,1475,2218,1.1,0.0,98.9,0.0
2023,12,mountain,1475,2412,38.8,27.5,0.0,33.8
2023,13,mixed,1475,2646,25.5,36.1,0.0,38.4
2023,14,mountain,1475,2583,39.3,53.8,1.1,5.8
2023,15,mixed,1475,2295,10.4,47.3,14.9,27.5
2023,16,ITT,1475,1773,49.8,20.4,15.6,14.2
2023,17,mountain,1475,2340,36.6,52.1,0.0,11.3
2023,18,sprint,1475,2182,0.0,0.0,52.4,47.6
2023,19,mixed,1475,2288,10.8,0.0,31.4,57.8
2023,20,mountain,1475,2350,45.2,50.1,0.0,4.7
2023,21,sprint,1475,2134,0.0,0.0,92.6,7.4
2024,1,mixed,1475,2278,23.7,20.1,24.7,31.5
2024,2,mixed,1475,2358,7.4,7.4,0.0,85.2
2024,3,sprint,1475,2158,0.0,2.0,83.7,14.2
2024,4,mountain,1475,2600,66.2,32.1,0.0,1.6
2024,5,sprint,1475,2184,0.0,0.0,93.9,6.1
2024,6,sprint,1475,2152,0.0,0.0,89.7,10.3
2024,7,ITT,1475,1773,64.2,5.0,0.0,30.8
2024,8,sprint,1475,2170,6.4,0.5,63.3,29.7
2024,9,mixed,1475,2390,7.5,8.1,22.4,62.0
2024,10,sprint,1475,2150,0.0,0.0,82.2,17.8
2024,11,mountain,1475,2385,58.2,38.0,0.0,3.8
2024,12,sprint,1475,2230,0.3,0.0,87.1,12.6
2024,13,sprint,1475,2214,4.7,1.1,55.7,38.4
2024,14,mountain,1475,2710,45.4,48.3,0.0,6.2
2024,15,mountain,1475,2645,52.3,42.4,0.0,5.3
2024,16,sprint,1475,2110,0.0,0.0,78.0,22.0
2024,17,mixed,1475,2235,10.8,52.2,4.1,32.9
2024,18,mixed,1475,2126,0.8,5.4,10.8,82.9
2024,19,mountain,1475,2503,56.6,37.2,0.0,6.2
2024,20,mountain,1475,2437,63.1,31.5,0.0,5.4
2024,21,ITT,1475,1773,57.8,22.4,0.0,19.8
2025,1,sprint,1475,2185,7.9,0.0,57.8,34.3
2025,2,mixed,1475,2238,32.1,28.5,4.1,35.4
2025,3,sprint,1475,2158,0.0,0.0,86.8,13.2
2025,4,mountain,1475,2226,51.7,18.0,0.0,30.3
2025,5,ITT,1475,1773,56.6,4.6,0.0,38.8
2025,6,mountain,1475,2310,28.7,39.5,0.0,31.8
2025,7,mountain,1475,2258,56.6,25.3,0.0,18.1
2025,8,sprint,1475,2152,0.0,0.0,79.8,20.2
2025,9,sprint,1475,2184,0.0,0.0,96.6,3.4
2025,10,mountain,1475,2512,32.5,52.7,0.0,14.7
2025,11,mixed,1475,2226,0.0,0.8,16.1,83.1
2025,12,mountain,1475,2285,67.8,20.9,0.0,11.3
2025,13,ITT,1475,1773,68.5,20.3,0.0,11.2
2025,14,mountain,1475,2413,62.4,30.6,0.0,7.0
2025,15,mixed,1475,2278,7.5,13.4,0.0,79.2
2025,16,mountain,1475,2236,37.7,54.6,1.4,6.3
2025,17,sprint,1475,2210,0.0,0.0,67.7,32.3
2025,18,mountain,1475,2506,46.3,49.0,0.0,4.7
2025,19,mountain,1475,2408,55.0,38.3,0.0,6.7
2025,20,mixed,1475,2382,4.7,0.0,25.8,69.5
2025,21,mixed,1475,2132,23.1,1.6,24.4,50.9
2026,1,TTT,0,1590,0,0,0,0
2026,2,mountain,1475,2242,44.4,43.1,0.0,12.5
2026,3,mountain,1475,2579,45.6,50.2,0.0,4.2
2026,4,mixed,1475,2182,12.2,0.3,18.3,69.2
2026,5,sprint,1475,2202,0.0,0.0,77.5,22.5
2026,6,mountain,1475,2351,53.2,42.4,0.0,4.4
2026,7,sprint,1475,2210,0.0,0.0,79.1,20.9
2026,8,sprint,1475,2234,0.0,0.0,87.9,12.1
2026,9,mixed,1475,2338,7.7,16.3,15.9,60.1
2026,10,mountain,1475,2296,54.5,38.2,0.0,7.3
2026,11,sprint,1475,2254,0.0,0.0,72.3,27.7
2026,12,sprint,1475,2254,0.8,0.0,71.9,27.3
2026,13,mixed,1475,2209,15.6,23.1,2.4,59.0
2026,14,mountain,1475,2413,49.8,48.8,0.0,1.4
2026,15,mountain,1475,2791,47.3,43.1,0.0,9.6
2026,16,ITT,1475,1773,53.6,19.6,0.0,26.8
2026,17,sprint,1475,2484,0.0,0.5,44.1,55.4
2026,18,mountain,1475,2524,27.0,44.2,0.0,28.8
2026,19,mountain,1475,2303,32.9,61.8,0.0,5.4
2026,20,mountain,1475,2727,27.9,65.5,0.0,6.6
2026,21,sprint,1475,2190,0.0,1.1,57.6,41.3
