race,race_name,year,riders,pro_teams,field_points,max_cost,rounds,winning_score,top5,optimum_points,optimum_credits,winner_gap_pct
tdf,Tour de France,2023,176,22,54590,26,22,12231,"12231,12193,12165,12094,12052",13444,98,9.0
tdf,Tour de France,2024,176,22,53891,28,22,12684,"12684,12557,12394,11960,11938",14768,100,14.1
tdf,Tour de France,2025,184,23,53325,32,22,13585,"13585,13548,13336,13322,13282",14216,100,4.4
tdf,Tour de France,2026,184,23,54616,34,22,14030,"14030,13651,13548,13476,13418",14783,98,5.1
giro,Giro d'Italia,2023,176,22,53739,26,22,11671,"11671,11312,11128,11056,11001",14287,100,18.3
giro,Giro d'Italia,2024,176,22,54342,32,22,12747,"12747,12632,12569,12495,12393",14065,100,9.4
giro,Giro d'Italia,2025,184,23,54086,24,22,12566,"12566,12058,12030,11774,11716",13620,92,7.7
giro,Giro d'Italia,2026,184,23,53135,30,22,12188,"12188,12118,12070,11745,11692",13820,100,11.8
vuelta,Vuelta a España,2023,176,22,53386,28,22,12835,"12835,12660,12459,12374,12266",14031,100,8.5
vuelta,Vuelta a España,2024,176,22,53863,24,22,11843,"11843,11696,11488,11468,11458",13785,100,14.1
vuelta,Vuelta a España,2025,184,23,51181,28,22,12829,"12829,12812,12706,12676,12675",14364,100,10.7
