race,year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,smt,bky,ass,tot
tdf,2023,20230985,Tadej Pogačar,1,Stage 1,160,22,6,4,0,0,0,20,212
tdf,2023,20230985,Tadej Pogačar,2,Stage 2,160,26,8,8,0,0,0,8,210
tdf,2023,20230985,Tadej Pogačar,3,Stage 3,0,26,4,8,0,0,0,8,46
tdf,2023,20230985,Tadej Pogačar,4,Stage 4,0,26,0,8,0,0,0,8,42
tdf,2023,20230985,Tadej Pogačar,5,Stage 5,80,15,0,0,0,0,0,0,95
tdf,2023,20230985,Tadej Pogačar,6,Stage 6,220,26,0,2,0,17,0,0,265
tdf,2023,20230985,Tadej Pogačar,7,Stage 7,0,26,0,2,0,0,0,0,28
tdf,2023,20230985,Tadej Pogačar,8,Stage 8,60,26,2,2,0,0,0,0,90
tdf,2023,20230985,Tadej Pogačar,9,Stage 9,35,26,2,1,0,0,0,0,64
tdf,2023,20230985,Tadej Pogačar,10,Stage 10,0,26,2,1,0,0,0,0,29
tdf,2023,20230985,Tadej Pogačar,11,Stage 11,4,26,0,1,0,0,0,0,31
tdf,2023,20230985,Tadej Pogačar,12,Stage 12,40,26,0,0,0,0,0,0,66
tdf,2023,20230985,Tadej Pogačar,13,Stage 13,160,26,2,8,0,20,0,0,216
tdf,2023,20230985,Tadej Pogačar,14,Stage 14,180,26,4,6,0,27,0,2,245
tdf,2023,20230985,Tadej Pogačar,15,Stage 15,20,26,2,4,0,0,0,2,54
tdf,2023,20230985,Tadej Pogačar,16,Stage 16,180,26,2,4,0,0,0,0,212
tdf,2023,20230985,Tadej Pogačar,17,Stage 17,0,26,2,2,0,0,0,6,36
tdf,2023,20230985,Tadej Pogačar,18,Stage 18,0,26,4,2,0,0,0,6,38
tdf,2023,20230985,Tadej Pogačar,19,Stage 19,0,26,4,2,0,0,0,6,38
tdf,2023,20230985,Tadej Pogačar,20,Stage 20,220,26,4,2,0,6,0,6,264
tdf,2023,20230985,Tadej Pogačar,21,Stage 21,0,26,4,2,20,0,0,6,58
tdf,2023,20230985,Tadej Pogačar,22,Final Classifications,0,500,60,40,0,0,0,40,640
tdf,2023,20230603,Jonas Vingegaard,1,Stage 1,70,12,0,0,0,0,0,8,90
tdf,2023,20230603,Jonas Vingegaard,2,Stage 2,20,15,0,6,0,0,0,12,53
tdf,2023,20230603,Jonas Vingegaard,3,Stage 3,0,15,0,6,0,0,0,8,29
tdf,2023,20230603,Jonas Vingegaard,4,Stage 4,0,15,0,6,0,0,0,8,29
tdf,2023,20230603,Jonas Vingegaard,5,Stage 5,120,26,0,0,0,2,0,8,156
tdf,2023,20230603,Jonas Vingegaard,6,Stage 6,180,30,0,0,0,14,0,8,232
tdf,2023,20230603,Jonas Vingegaard,7,Stage 7,0,30,0,0,0,0,0,8,38
tdf,2023,20230603,Jonas Vingegaard,8,Stage 8,12,30,0,0,0,0,0,10,52
tdf,2023,20230603,Jonas Vingegaard,9,Stage 9,30,30,0,0,0,0,0,2,62
tdf,2023,20230603,Jonas Vingegaard,10,Stage 10,0,30,0,0,0,0,0,2,32
tdf,2023,20230603,Jonas Vingegaard,11,Stage 11,12,30,0,0,0,0,0,2,44
tdf,2023,20230603,Jonas Vingegaard,12,Stage 12,20,30,0,0,0,0,0,2,52
tdf,2023,20230603,Jonas Vingegaard,13,Stage 13,140,30,0,1,0,15,0,2,188
tdf,2023,20230603,Jonas Vingegaard,14,Stage 14,160,30,0,12,0,36,0,4,242
tdf,2023,20230603,Jonas Vingegaard,15,Stage 15,16,30,0,6,0,0,0,12,64
tdf,2023,20230603,Jonas Vingegaard,16,Stage 16,220,30,0,6,0,0,0,0,256
